area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
26,Michigan,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",16650,"65,050"
26,Michigan,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",17740,"59,600"
27,Minnesota,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",27370,"57,560"
27,Minnesota,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",10700,"58,430"
27,Minnesota,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",20100,"60,030"
28,Mississippi,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",15140,"40,810"
28,Mississippi,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5990,"40,170"
28,Mississippi,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",9430,"41,920"
29,Missouri,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",25730,"48,030"
29,Missouri,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",12850,"49,600"
29,Missouri,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",26470,"44,220"
30,Montana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",4290,"48,550"
30,Montana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2420,"55,890"
30,Montana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",3440,"48,460"
31,Nebraska,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",9110,"50,600"
31,Nebraska,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3890,"50,820"
31,Nebraska,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",6460,"51,300"
32,Nevada,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",9930,"53,010"
32,Nevada,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",4290,"54,010"
32,Nevada,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5770,"53,380"
33,New Hampshire,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",6230,"55,690"
33,New Hampshire,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3960,"56,450"
33,New Hampshire,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4780,"56,550"
34,New Jersey,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",46440,"63,960"
34,New Jersey,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",23150,"65,530"
34,New Jersey,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",32170,"71,560"
35,New Mexico,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",9330,"56,750"
35,New Mexico,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3690,"50,900"
35,New Mexico,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5680,"52,920"
36,New York,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",82270,"68,540"
36,New York,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",40990,"74,060"
36,New York,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",64200,"76,630"
37,North Carolina,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",40980,"42,170"
37,North Carolina,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",18700,"41,470"
37,North Carolina,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",22960,"43,090"
38,North Dakota,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",4600,"46,180"
38,North Dakota,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1010,"52,680"
38,North Dakota,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2680,"46,920"
39,Ohio,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",52020,"59,620"
39,Ohio,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",31430,"58,750"
39,Ohio,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",43310,"58,850"
40,Oklahoma,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",16840,"39,270"
40,Oklahoma,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",7350,"40,720"
40,Oklahoma,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",11540,"41,280"
41,Oregon,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",12470,"57,820"
41,Oregon,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5360,"59,100"
41,Oregon,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",9770,"59,770"
42,Pennsylvania,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",53110,"59,780"
42,Pennsylvania,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",27050,"57,290"
42,Pennsylvania,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",47270,"62,560"
44,Rhode Island,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3990,"71,220"
44,Rhode Island,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2260,"69,880"
44,Rhode Island,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4130,"67,930"
45,South Carolina,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",20790,"48,660"
45,South Carolina,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9060,"48,860"
45,South Carolina,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",14620,"50,430"
46,South Dakota,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3850,"40,690"
