area,area_title,area_type,naics,naics_title,occ_code,occ_title,tot_emp,a_median
99,U.S.,1,624300,Vocational Rehabilitation Services,252031,"Secondary School Teachers, Except Special and Career/Technical Education",100,"42,200"
99,U.S.,1,624400,Child Day Care Services,252021,"Elementary School Teachers, Except Special Education",320,"45,620"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252021,"Elementary School Teachers, Except Special Education",2180,"42,350"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252022,"Middle School Teachers, Except Special and Career/Technical Education",240,"51,360"
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",252031,"Secondary School Teachers, Except Special and Career/Technical Education",240,"54,780"
99,U.S.,1,813100,Religious Organizations,252021,"Elementary School Teachers, Except Special Education",1960,"41,740"
99,U.S.,1,813100,Religious Organizations,252022,"Middle School Teachers, Except Special and Career/Technical Education",230,"51,910"
99,U.S.,1,813100,Religious Organizations,252031,"Secondary School Teachers, Except Special and Career/Technical Education",190,"56,790"
99,U.S.,1,813300,Social Advocacy Organizations,252021,"Elementary School Teachers, Except Special Education",1,"47,130"
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation",252021,"Elementary School Teachers, Except Special Education",520,"52,450"
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation",252022,"Middle School Teachers, Except Special and Career/Technical Education",140,"48,580"
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation",252031,"Secondary School Teachers, Except Special and Career/Technical Education",3010,"48,500"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252021,"Elementary School Teachers, Except Special Education",1230050,"54,550"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252022,"Middle School Teachers, Except Special and Career/Technical Education",566430,"54,060"
99,U.S.,1,999001,"Federal, state, and local government, including government owned schools and hospitals, and the US Postal Service",252031,"Secondary School Teachers, Except Special and Career/Technical Education",853090,"55,700"
99,U.S.,1,999200,"State Government, excluding schools and hospitals (OES Designation)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1620,"53,340"
99,U.S.,1,999201,"State government, including schools and hospitals",252021,"Elementary School Teachers, Except Special Education",7590,"58,070"
99,U.S.,1,999201,"State government, including schools and hospitals",252022,"Middle School Teachers, Except Special and Career/Technical Education",2250,"55,160"
99,U.S.,1,999201,"State government, including schools and hospitals",252031,"Secondary School Teachers, Except Special and Career/Technical Education",7200,"53,000"
99,U.S.,1,999300,"Local Government, excluding schools and hospitals (OES Designation)",252021,"Elementary School Teachers, Except Special Education",510,"52,450"
99,U.S.,1,999300,"Local Government, excluding schools and hospitals (OES Designation)",252022,"Middle School Teachers, Except Special and Career/Technical Education",140,"48,880"
99,U.S.,1,999300,"Local Government, excluding schools and hospitals (OES Designation)",252031,"Secondary School Teachers, Except Special and Career/Technical Education",1390,"46,630"
99,U.S.,1,999301,"Local government, including schools and hospitals",252021,"Elementary School Teachers, Except Special Education",1222460,"54,520"
99,U.S.,1,999301,"Local government, including schools and hospitals",252022,"Middle School Teachers, Except Special and Career/Technical Education",564190,"54,050"
99,U.S.,1,999301,"Local government, including schools and hospitals",252031,"Secondary School Teachers, Except Special and Career/Technical Education",845880,"55,720"
1,Alabama,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",18830,"48,970"
1,Alabama,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9070,"48,670"
1,Alabama,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",13350,"49,930"
2,Alaska,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3620,"64,370"
2,Alaska,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1670,"63,490"
2,Alaska,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2470,"66,380"
4,Arizona,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",24140,"40,690"
4,Arizona,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9980,"41,450"
4,Arizona,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",15040,"41,850"
5,Arkansas,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",12330,"43,980"
5,Arkansas,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",6860,"46,310"
5,Arkansas,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",9820,"46,280"
6,California,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",132560,"70,610"
6,California,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",48300,"68,670"
6,California,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",90470,"68,740"
8,Colorado,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",23360,"47,380"
8,Colorado,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",12800,"47,250"
8,Colorado,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",15820,"49,660"
9,Connecticut,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",16150,"67,650"
9,Connecticut,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",9940,"68,910"
9,Connecticut,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",14230,"67,700"
10,Delaware,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",4780,"56,280"
10,Delaware,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2060,"53,820"
10,Delaware,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2980,"55,080"
11,District of Columbia,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3450,"58,880"
11,District of Columbia,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",970,"56,360"
11,District of Columbia,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2440,"53,470"
12,Florida,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",69310,"45,360"
12,Florida,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",29660,"45,730"
12,Florida,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",40020,"47,090"
13,Georgia,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",42760,"53,240"
13,Georgia,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",23370,"53,310"
13,Georgia,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",22910,"53,530"
15,Hawaii,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",5910,"53,570"
15,Hawaii,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1720,"52,680"
15,Hawaii,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4040,"54,970"
16,Idaho,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",6900,"45,570"
16,Idaho,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2010,"48,620"
16,Idaho,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4210,"43,750"
17,Illinois,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",80580,"56,220"
17,Illinois,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",29020,"55,310"
17,Illinois,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",53500,"62,910"
18,Indiana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",24180,"51,160"
18,Indiana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",11350,"51,630"
18,Indiana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",17510,"51,290"
19,Iowa,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",16010,"47,860"
19,Iowa,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5860,"47,970"
19,Iowa,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12440,"45,680"
20,Kansas,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",14000,"44,390"
20,Kansas,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5760,"46,280"
20,Kansas,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",9770,"45,430"
21,Kentucky,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",20130,"50,050"
21,Kentucky,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",8120,"50,130"
21,Kentucky,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12340,"51,270"
22,Louisiana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",12740,"47,570"
22,Louisiana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",13340,"47,310"
22,Louisiana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",16970,"47,760"
23,Maine,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",6910,"48,750"
23,Maine,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2850,"48,560"
23,Maine,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5330,"48,520"
24,Maryland,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",25810,"59,320"
24,Maryland,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",11380,"63,840"
24,Maryland,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",21010,"60,380"
25,Massachusetts,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",26570,"66,400"
25,Massachusetts,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",16340,"65,020"
25,Massachusetts,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",22510,"66,850"
26,Michigan,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",35910,"62,340"
26,Michigan,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",15550,"58,570"
26,Michigan,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",22430,"61,380"
27,Minnesota,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",25780,"56,770"
27,Minnesota,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",8850,"57,720"
27,Minnesota,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",15070,"55,440"
28,Mississippi,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",13490,"40,620"
28,Mississippi,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",8250,"40,260"
28,Mississippi,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",10610,"41,430"
29,Missouri,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",23380,"43,820"
29,Missouri,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",13870,"46,100"
29,Missouri,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",20480,"43,480"
30,Montana,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",5190,"44,500"
30,Montana,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",1560,"45,000"
30,Montana,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",3730,"46,510"
31,Nebraska,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",9610,"47,130"
31,Nebraska,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3170,"48,630"
31,Nebraska,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",6860,"47,980"
32,Nevada,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",10570,"52,370"
32,Nevada,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",4220,"52,630"
32,Nevada,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5840,"52,620"
33,New Hampshire,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",6730,"53,600"
33,New Hampshire,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",4290,"52,000"
33,New Hampshire,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",5090,"52,700"
34,New Jersey,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",42310,"61,460"
34,New Jersey,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",23820,"62,360"
34,New Jersey,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",34780,"66,480"
35,New Mexico,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",9390,"48,560"
35,New Mexico,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",3760,"48,440"
35,New Mexico,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",6030,"49,840"
36,New York,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",82580,"68,300"
36,New York,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",39300,"71,560"
36,New York,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",66740,"71,400"
37,North Carolina,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",39770,"42,110"
37,North Carolina,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",18200,"40,890"
37,North Carolina,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",24450,"43,020"
38,North Dakota,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",5390,"45,010"
38,North Dakota,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",460,"50,860"
38,North Dakota,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",2850,"43,590"
39,Ohio,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",49760,"59,160"
39,Ohio,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",27330,"59,350"
39,Ohio,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",41250,"58,530"
40,Oklahoma,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",16350,"40,850"
40,Oklahoma,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",7780,"42,100"
40,Oklahoma,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",12070,"42,940"
41,Oregon,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",11980,"55,880"
41,Oregon,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",5590,"55,380"
41,Oregon,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",8570,"55,350"
42,Pennsylvania,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",57460,"55,570"
42,Pennsylvania,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",21770,"56,980"
42,Pennsylvania,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",52640,"57,680"
44,Rhode Island,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",3730,"72,540"
44,Rhode Island,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",2260,"68,990"
44,Rhode Island,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",4880,"68,730"
45,South Carolina,2,000000,Cross-industry,252021,"Elementary School Teachers, Except Special Education",19760,"47,020"
45,South Carolina,2,000000,Cross-industry,252022,"Middle School Teachers, Except Special and Career/Technical Education",10170,"47,670"
45,South Carolina,2,000000,Cross-industry,252031,"Secondary School Teachers, Except Special and Career/Technical Education",13120,"49,540"
