area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
99,U.S.,1,624200,"Community Food and Housing, and Emergency and Other Relief Services",25-2011,"Preschool Teachers, Except Special Education",440,28800
99,U.S.,1,624300,Vocational Rehabilitation Services,25-2011,"Preschool Teachers, Except Special Education",310,27520
99,U.S.,1,624300,Vocational Rehabilitation Services,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",240,43530
99,U.S.,1,624300,Vocational Rehabilitation Services,25-2032,"Career/Technical Education Teachers, Secondary School",80,42340
99,U.S.,1,624300,Vocational Rehabilitation Services,25-2051,"Special Education Teachers, Preschool",240,34930
99,U.S.,1,624300,Vocational Rehabilitation Services,25-2054,"Special Education Teachers, Secondary School",90,35800
99,U.S.,1,624400,Child Day Care Services,25-2021,"Elementary School Teachers, Except Special Education",700,34400
99,U.S.,1,712000,"Museums, Historical Sites, and Similar Institutions",25-2011,"Preschool Teachers, Except Special Education",80,28730
99,U.S.,1,712100,"Museums, Historical Sites, and Similar Institutions",25-2011,"Preschool Teachers, Except Special Education",80,28730
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",25-2012,"Kindergarten Teachers, Except Special Education",220,41260
99,U.S.,1,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",25-2059,"Special Education Teachers, All Other",310,95410
99,U.S.,1,813100,Religious Organizations,25-2012,"Kindergarten Teachers, Except Special Education",100,41820
99,U.S.,1,813100,Religious Organizations,25-2021,"Elementary School Teachers, Except Special Education",2350,43380
99,U.S.,1,813100,Religious Organizations,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",780,64450
99,U.S.,1,813200,Grantmaking and Giving Services,25-2011,"Preschool Teachers, Except Special Education",380,33940
99,U.S.,1,813200,Grantmaking and Giving Services,25-2059,"Special Education Teachers, All Other",280,101670
99,U.S.,1,813300,Social Advocacy Organizations,25-2021,"Elementary School Teachers, Except Special Education",100,42130
99,U.S.,1,813400,Civic and Social Organizations,25-2012,"Kindergarten Teachers, Except Special Education",120,40920
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",100,58940
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",25-2032,"Career/Technical Education Teachers, Secondary School",1600,30960
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",25-2051,"Special Education Teachers, Preschool",470,50450
99,U.S.,1,999000,"Federal, State, and Local Government, excluding state and local schools and hospitals, and the US Postal Service (OES Designation)",25-2053,"Special Education Teachers, Middle School",150,61370
99,U.S.,1,999100,Federal Executive Branch (OES Designation),25-2059,"Special Education Teachers, All Other",920,64010
99,U.S.,1,999101,"Federal government, including the US Postal Service",25-2059,"Special Education Teachers, All Other",920,64010
99,U.S.,1,999200,State Government (OES Designation),25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",910,49190
99,U.S.,1,999200,State Government (OES Designation),25-2032,"Career/Technical Education Teachers, Secondary School",1460,29870
99,U.S.,1,999200,State Government (OES Designation),25-2052,"Special Education Teachers, Kindergarten and Elementary School",190,74490
99,U.S.,1,999201,"State government, including schools and hospitals",25-2053,"Special Education Teachers, Middle School",750,54210
99,U.S.,1,999300,Local Government (OES Designation),25-2021,"Elementary School Teachers, Except Special Education",580,52480
99,U.S.,1,999300,Local Government (OES Designation),25-2022,"Middle School Teachers, Except Special and Career/Technical Education",100,58940
99,U.S.,1,999300,Local Government (OES Designation),25-2032,"Career/Technical Education Teachers, Secondary School",130,52420
99,U.S.,1,999300,Local Government (OES Designation),25-2051,"Special Education Teachers, Preschool",440,48850
99,U.S.,1,999300,Local Government (OES Designation),25-2053,"Special Education Teachers, Middle School",140,61820
99,U.S.,1,999300,Local Government (OES Designation),25-2054,"Special Education Teachers, Secondary School",270,59870
99,U.S.,1,999300,Local Government (OES Designation),25-2059,"Special Education Teachers, All Other",610,66420
01,Alabama,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",100,52630
01,Alabama,2,000000,Cross-industry,25-2032,"Career/Technical Education Teachers, Secondary School",730,52940
01,Alabama,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",80,34770
01,Alabama,2,000000,Cross-industry,25-2052,"Special Education Teachers, Kindergarten and Elementary School",1430,51720
01,Alabama,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",570,49470
01,Alabama,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",880,52460
01,Alabama,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",40,60520
02,Alaska,2,000000,Cross-industry,25-2011,"Preschool Teachers, Except Special Education",690,36410
